City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,samarai,-10.6167,150.6667,26.56,84,100,2.99,PG,1675926352
203,alofi,-19.0595,-169.9187,26.94,83,100,1.03,NU,1675926353
204,fairbanks,64.8378,-147.7164,-17.73,82,0,0.0,US,1675926353
205,almaznyy,48.0448,40.045,-8.74,83,41,3.22,RU,1675926354
206,ahipara,-35.1667,173.1667,18.6,69,1,4.01,NZ,1675926354
207,bustamante,26.5333,-100.5,12.03,66,0,2.6,MX,1675926355
208,ballina,-28.8667,153.5667,25.01,72,100,4.61,AU,1675925758
209,berbera,10.4396,45.0143,26.24,62,5,2.12,SO,1675926355
210,invermere,50.5167,-116.0354,-11.89,95,91,0.46,CA,1675926356
211,wellington,-41.2866,174.7756,18.92,66,17,5.14,NZ,1675926299
212,mayo,38.8876,-76.5119,8.81,79,0,1.54,US,1675926357
213,suicheng,33.8963,117.9331,4.1,96,100,4.15,CN,1675926357
214,talcahuano,-36.7167,-73.1167,13.82,94,0,1.54,CL,1675926315
215,muravlenko,63.7898,74.523,-12.07,95,100,6.75,RU,1675926358
216,tateyama,34.9833,139.8667,9.94,36,22,5.15,JP,1675926358
217,tuktoyaktuk,69.4541,-133.0374,-36.0,68,20,1.03,CA,1675926359
218,viedma,-40.8135,-62.9967,17.78,69,8,4.31,AR,1675926359
219,khasan,42.4308,130.6434,-3.07,53,100,3.42,RU,1675926359
220,yar-sale,66.8333,70.8333,-15.34,97,78,4.16,RU,1675926360
221,banda aceh,5.5577,95.3222,29.44,68,59,3.79,ID,1675926360
222,vestmannaeyjar,63.4427,-20.2734,-2.21,62,94,11.57,IS,1675926196
223,meulaboh,4.1363,96.1285,29.53,66,72,3.01,ID,1675926361
224,uaua,-9.8414,-39.4817,19.63,75,100,2.95,BR,1675926362
225,turukhansk,65.8167,87.9833,-20.25,93,99,4.42,RU,1675926362
226,marsa matruh,31.3525,27.2453,12.11,62,75,2.06,EG,1675926363
227,amapa,1.0,-52.0,21.52,100,100,0.89,BR,1675926363
228,mehamn,71.0357,27.8492,1.97,69,0,7.2,NO,1675926364
229,hammerfest,70.6634,23.6821,0.25,80,40,2.06,NO,1675926365
230,sao joao da barra,-21.6403,-41.0511,22.88,92,100,4.24,BR,1675926366
231,gamba,-2.65,10.0,26.6,85,44,2.72,GA,1675926366
232,kaitangata,-46.2817,169.8464,13.31,54,34,4.18,NZ,1675926367
233,malinovoye ozero,51.6753,79.7825,-13.43,89,98,2.82,RU,1675926367
234,felipe carrillo puerto,19.5833,-88.05,20.77,97,9,1.13,MX,1675926368
235,fukue,32.6881,128.8419,12.2,47,75,3.6,JP,1675926368
236,carsamba,41.1989,36.7219,5.39,75,75,2.57,TR,1675926190
237,lodwar,3.1191,35.5973,32.48,28,60,6.85,KE,1675926369
238,shenjiamen,29.9576,122.298,10.56,96,100,5.62,CN,1675926370
239,aksu,41.1231,80.2644,1.97,51,80,0.63,CN,1675926308
240,karasjok,69.4719,25.5112,-0.73,93,100,4.96,NO,1675926372
241,oskaloosa,41.2964,-92.6444,2.32,90,100,4.84,US,1675926372
242,luena,-11.7833,19.9167,19.61,79,85,2.04,AO,1675926373
243,cabedelo,-6.9811,-34.8339,24.37,83,93,4.19,BR,1675926374
244,nyurba,63.2842,118.3319,-33.63,96,66,1.53,RU,1675926374
245,novo oriente,-5.5344,-40.7742,20.28,71,71,0.45,BR,1675926246
246,ostersund,63.1792,14.6357,0.9,100,0,7.15,SE,1675926375
247,tieling,42.2931,123.8414,0.26,31,100,1.68,CN,1675926376
248,danilov,58.1908,40.1717,-4.34,94,100,2.17,RU,1675926376
249,cafelandia,-21.8025,-49.61,20.47,92,10,2.19,BR,1675926377
250,camacari,-12.6975,-38.3242,26.87,89,15,0.62,BR,1675926377
